,title,length,publish_date,author,url
31,Dil Ki Kalpana: Launda Purbu Video Song HD | Meena Rana | Latest Kumaoni Songs 2014,323.0,2014-07-05 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=HCk0aP337As
32,Dil Ki Kalpana: Jyunyaali Raat Video Song HD | Lalit Mohan Joshi | Latest Kumaoni Songs 2014,330.0,2014-07-04 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=bhnFTkA-0wE
33,Kve Ni Dinou Saath Full Video Song | Kumaoni Album Saun Mahain,289.0,2014-07-03 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=maJuspOZqcI
34,O Meri Hosiya Video Song 2014 | Lalit Mohan Joshi | Latest Kumaoni Album Dil Ki Kalpana,330.0,2014-07-03 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=lZO6D9bfbLg
35,Mayadar Binita Video Song 2014 | Latest Kumaoni Album Dil Ki Kalpana | Lalit Mohan Joshi,376.0,2014-07-02 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=JIWYBswzLdg
36,O Meri Hosiya Song (Dil Ki Kalpana) | Lalit Mohan Joshi | Latest Kumaoni Songs 2014,331.0,2014-06-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=cCWORaGNfmE
37,Mansuri Ki Mona Song (Dil Ki Kalpana) | Lalit Mohan Joshi | Latest Kumaoni Songs 2014,272.0,2014-06-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=vKgntw-qh5c
38,Mansuri Ki Mona Video Song 2014 | Kumaoni Album Dil Ki Kalpana | Lalit Mohan Joshi,273.0,2014-06-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=0cQHRkgAXI8
39,Meena Rana: Launda Purbu Song (Dil Ki Kalpana) | Latest Kumaoni Songs 2014,325.0,2014-06-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=-2CJw21-rmA
40,Jyunyaali Raat Song (Dil Ki Kalpana) | Lalit Mohan Joshi | Latest Kumaoni Songs 2014,331.0,2014-06-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=KkK7zwvkNtQ
41,Champa Chameli Song (Dil Ki Kalpana) | Lalit Mohan Joshi | Latest Kumaoni Songs 2014,347.0,2014-06-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=8FpZuGqrBjE
42,"Ae Jaai Meri Vana Video Song Kumaoni | Lalit Mohan Joshi, Meena Rana | Dil Ki Kalpana",335.0,2014-06-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=pe5x7XOJ8vo
43,Dil Ki Kalpana Title Song | Lalit Mohan Joshi | Latest Kumaoni Songs 2014,336.0,2014-06-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=HuotBQdMVMA
44,Mayadar Binita (Kumaoni Song 2014) | Dil Ki Kalpana | Lalit Mohan Joshi Latest Song,376.0,2014-06-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=iXk6xxj4RzI
45,Kashi Haili Meri Baana | Kumaoni Video Song | Album: Saun Mahain,234.0,2014-06-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=yr6oqvCQcTk
46,"Ae Jaai Meri Vana (Kumaoni Song 2014) | Dil Ki Kalpana | Lalit Mohan Joshi, Meena Rana",336.0,2014-06-25 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=Yb96Pyp-J4U
47,Udankaar Hovege (Jagar) Full Video - Preetam Bharatwan - Baand Amravati,358.0,2014-06-17 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=ZEHSeHA8S1Y
48,Gori Gori Naani Naani | Kumaoni Video Song | Album: Saun Mahain,303.0,2014-06-16 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=r4FmVA1qqZk
49,Ghuguti Ghuraona Laigi - Garhwali Video Song Meena Rana - Chali Bhai Motar Chali,295.0,2014-06-13 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=AwESlAx6py8
50,"Chali Bhai Motar Chali - Hit Garhwali Video Song - Narendra Singh Negi, Meena Rana",526.0,2014-06-10 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=OyNnQI1bCzg
51,Basant Ritu Maa Jaiyee - Garhwali Song Narendra Singh Negi - Chali Bhai Motar Chali,477.0,2014-06-03 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=aU-2XjLTSWw
52,Sabbi Dhaani Dehradoon - Hit Garhwali Song Narendra Singh Negi - Aejadi Bhagyaani,502.0,2014-06-01 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=udXE3JIZK3k
53,"Teri Aankhyun Ka Sawal Song Garhwali - Aejadi Bhagyaani - Narendra Singh Negi, Meena Rana",399.0,2014-05-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=hMBxVjYnXsw
54,"Meri Uma Kai Baanu (Garhwali Video Song) - Aejadi Bhagyaani - Narendra Singh Negi, Meena Rana",516.0,2014-05-25 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=ShIXMH5fkJ8
55,Na Baith Bindi Charkhi Maa - Superhit Garhwali Song Narendra Singh Negi,420.0,2014-05-21 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=UKT7jGDRJ3M
56,Biroo Bhadu Ku Desh - Garhwali Song Narendra Singh Negi - Chali Bhai Motar Chali,500.0,2014-05-20 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=oh4QZkkQsrI
57,"Chal E Duniya Se Door (Garhwali Video Song) - Narendra Singh Negi, Meena Rana",507.0,2014-05-18 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=d2Iw4QpuVfo
58,Door Pardesh Chhaoo - Garhwali Song Narendra Singh Negi - Chali Bhai Motar Chali,330.0,2014-05-12 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=gEiiGwAvm58
59,Teen Boli Teen Boli - Garhwali Old Video Song - Maya Ka Sauder,245.0,2014-05-10 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=Io3YgPErOzQ
60,Parasi Dekhi Chhajja Maa - Garhwali Video Song Narendra Singh Negi - Aejadi Bhagyani,355.0,2014-05-08 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=wnDqUmZO3c0
61,Na Kata Tau Dalyun - Garhwali Song Narendra Singh Negi - Chali Bhai Motar Chali,357.0,2014-05-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=wmGR3bA6S-Y
62,Maya Hey Maya - Garhwali Old Video Song - Maya Ka Sauder,367.0,2014-05-05 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=uv83ltPS2TM
63,Jara Jara Kabhi Kabhi - Garhwali Video Song - Maya Ka Sauder,212.0,2014-04-29 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=Oa9A0vQ5nu8
64,Yo Maya Lagai Na Full Video Song | Kumaoni Superhit Album 'Kautik' Songs,317.0,2014-04-22 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=YaTpmRHVr9s
65,Ja Kaga Gailya (Garhwali Video Song ) - Maya Ka Sauder - Padam Gusain,376.0,2014-04-19 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=OBQQpixEz_c
66,"Sulpaa Ki Saaj (Garhwali Video Song) - Kaithai Khojyaani Holi - Narendra Singh Negi, Anuradha Nirala",500.0,2014-04-16 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=BFhvUF643dU
67,Bharat Maa Tera Lal Hum - Garhwali Video Song - Maya Ka Sauder,282.0,2014-04-12 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=lE8pm-TtlR8
68,Tu Kaatli Ghaas - Kautik - Kumaoni Album Video Song,331.0,2014-04-04 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=svlORj-O6-I
69,Madhuli Hira Hir Full Video Song | Kumaoni Superhit Album 'Kautik' Songs,307.0,2014-04-03 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=GIB7ZsRzwxA
70,Hit Kautije Jaula Video Song | Kumaoni Superhit Album 'Kautik' Songs,294.0,2014-04-01 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=hhh08iICm4E
71,Tihri Bazar Aandi - Garhwali Video Song - Maya Ka Sauder,267.0,2014-04-01 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=KMAy5OEV0vE
72,Hatai Ki Churiya Video Song | Kumaoni Superhit Album 'Kautik' Songs,381.0,2014-03-31 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=78_Ix8kuvUc
73,Saira Mulak Maa Charcha | Garhwali Video Song | Maya Ka Sauder | Padam Gusain,474.0,2014-03-29 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=eYlze-ydiTo
74,Burunshi Phoolee Rai Video Song | Kumaoni Superhit Album 'Kautik' Songs,296.0,2014-03-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=G_YqMM0EjGk
75,Bedu Timil Pakini Video Song | Kumaoni Superhit Album 'Kautik' Songs,253.0,2014-03-25 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=DvoxHsG7DR4
76,"Maan Samman Tu Meri Aas Song | Lokendra Singh Kentura, Meena Rana | Baudi Aawa Garhwali Album 2014",553.0,2014-03-25 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=3v9sG4Fhuu4
77,Almora Bazar Hite Full Video Song | Kumaoni Album 'Kautik' Songs,387.0,2014-03-24 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=6-JyzcStTu4
78,Jai Maa Jagdamba (Jaagar) | Baudi Aawa (Uttranchal Ka Uttrakhandiyo) | Garhwali Album 2014,333.0,2014-03-23 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=JTQaWMJeWiI
79,Daandiyo Ritima Baaj Hey Radha Song | Baudi Aawa (Uttranchal Ka Uttrakhandiyo) | Garhwali Album 2014,459.0,2014-03-21 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=xZ-KvRjxjkc
80,"Ji Rai Jaagi Rai | Garhwali Video Song | Narendra Singh Negi, Anuradha Nirala",435.0,2014-03-20 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=RA4uF6VDNOY
81,Uttranchal Ka Uttrakhandiyo Song | Baudi Aawa New Garhwali Album 2014 | Lokendra Singh Kentura,466.0,2014-03-19 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=N1_MW-pIMRY
82,Anwaar Dekhi Ta Aansu Song | Baudi Aawa (Uttranchal Ka Uttrakhandiyo) | New Garhwali Album 2014,595.0,2014-03-18 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=ZvQAwmL1Zq0
83,"Himala Haaun Kauta Video Song Garhwali - Narendra Singh Negi, Anuradha Nirala",417.0,2014-03-12 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=E1oIK6mnW9Q
84,Hey Chhutki Chhoti Chhoti Song | Baudi Aawa (Uttranchal Ka Uttrakhandiyo) | New Garhwali Album 2014,371.0,2014-03-11 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=hXQa71IIRcs
